Disease,Ingredients
Diabetes,"high-fructose corn syrup, white flour, honey"
Hypertension,"pickles, processed meats, canned soups"
Kidney Disease,"potassium-rich foods (bananas, oranges), phosphorus (colas), milk, processed meats"
Celiac Disease,"malt, soy sauce, beer"
Lactose Intolerance,"milk, cream, cheese, butter, yogurt"
Gout,"red meat, seafood, organ meats"
Heart Disease,"processed meats"
IBS (Irritable Bowel Syndrome),"caffeine, artificial sweeteners, high-fat dairy"
Acid Reflux/GERD,"spicy foods, citrus fruits, chocolate"
Arthritis,"red meat, processed foods, refined carbs"
PCOS,"white bread, pasta"
Liver Disease,"fried foods, high-fat dairy, processed foods"
Hyperthyroidism,"iodine-rich foods (seaweed, fish), soy"
Hypothyroidism,"broccoli, cauliflower, kale, soy, fatty foods"
Anemia,"tea, coffee, milk, cheese, bran"
Crohn's Disease,"seeds, popcorn, carbonated drinks, dairy"
Ulcerative Colitis,"nuts, seeds, raw vegetables, spicy foods"
Obesity,"white bread"
Hypercholesterolemia,"red meat, butter, full-fat dairy"
Asthma,"dried fruits, processed foods, dairy"
Epilepsy,"artificial sweeteners, refined carbs"
Eczema,"eggs, soy"
Psoriasis,"red meat, dairy, processed foods"
Diverticulitis,"nuts, seeds, corn, popcorn, high-fat foods"
Hemorrhoids,"spicy foods, low-fiber foods, processed snacks"
Osteoporosis,"caffeine, red meat"
Depression,"refined carbs"
Migraine,"aged cheese, processed meats"
Fatty Liver Disease,"fried foods, processed snacks, red meat"
Gallbladder Disease,"fatty foods, eggs, dairy, refined carbs"
